precio,marca,modelo,año,Kilometraje,motor,transmision,peso,ubicacion,accidentesOServicios,tipo,cantidadVentas,foto,usadoONuevo
40000,Audi,A4,2018,30000,2.0L,Automática,1600kg,Esmeraldas,Revisión de motor;Cambio de filtros,AUTOS,1,audiA4.jpeg,Usado
25000,Honda,CR-V,2019,25000,2.4L,Automática,1500kg,Riobamba,Ninguno,AUTOS,5,hondaCRV.jpg,Usado
18000,Yamaha,MT-07,2019,6000,689cc,Manual,182kg,Ibarra,Revisión de frenos;Cambio de aceite,MOTOS,4,yamahaMT07.jfif,Usado
90000,John Deere,410L,2020,1500,4.5L,Automática,8135kg,Santo Domingo,Cambio de aceite;Cambio de filtros,MAQUINARIAS,0,johnDeere410L.jpg,Nuevo
16000,Hyundai,Elantra,2016,45000,1.8L,Automática,1275kg,Latacunga,Cambio de aceite;Reparaciones,AUTOS,8,hyundaiElantra.jpg,Usado
35000,Toyota,RAV4,2018,30000,2.5L,Automática,1650kg,Guayaquil,Revisión de motor;Cambio de filtros,AUTOS,3,toyotaRAV4.jpeg,Usado
27000,Ford,Edge,2017,45000,2.0L,Automática,1800kg,Quito,Cambio de aceite;Cambio de filtros,AUTOS,6,fordEdge.jpg,Nuevo
16000,Yamaha,MT-09,2018,8000,847cc,Manual,193kg,Cuenca,Revisión de frenos;Reparaciones,MOTOS,5,yamahaMT09.jfif,Usado
52000,Komatsu,WA320-7,2017,3000,6.7L,Automática,15700kg,Machala,Revisión hidráulica;Cambio de aceite,MAQUINARIAS,1,komatsuWA320.jfif,Usado
22000,Volkswagen,Passat,2016,60000,1.8L,Automática,1500kg,Portoviejo,Cambio de aceite,AUTOS,7,volkswagenPassat.jpg,Nuevo
30000,Chevrolet,Colorado,2018,30000,3.6L,Automática,2100kg,Manta,Cambio de filtros;Cambio de aceite,PESADOS,2,chevroletColorado.jpg,Usado
15000,Yamaha,MT-03,2017,10000,321cc,Manual,168kg,Ambato,Reparaciones;Cambio de aceite,MOTOS,6,yamahaMT03.jpg,Usado
28000,Honda,HR-V,2019,20000,1.8L,Automática,1330kg,Esmeraldas,Cambio de aceite;Cambio de filtros,AUTOS,3,hondaHRV.jpg,Nuevo
50000,Bobcat,S590,2016,3000,2.4L,Automática,3000kg,Riobamba,Revisión de motor;Cambio de aceite,MAQUINARIAS,1,bobcatS590.jpg,Usado
27000,Sea Ray,SPX 210,2019,150,4.5L,Automática,1400kg,Ibarra,Cambio de aceite,ACUATICOS,0,seareySPX210.jpg,Nuevo
16000,Chevrolet,Trax,2017,40000,1.4L,Automática,1450kg,Santo Domingo,Cambio de filtros;Cambio de aceite,AUTOS,4,chevroletTrax.jpg,Usado
12000,Kawasaki,Z400,2018,9000,399cc,Manual,168kg,Latacunga,Revisión de frenos;Cambio de aceite,MOTOS,5,kawasakiZ400.jpg,Usado
30000,Toyota,Highlander,2017,35000,3.5L,Automática,2000kg,Guayaquil,Reparaciones;Cambio de filtros,AUTOS,2,toyotaHighlander.jpg,Usado
45000,Mercedes-Benz,GLC,2019,20000,2.0L,Automática,1750kg,Quito,Revisión de motor;Cambio de aceite,AUTOS,1,mercedezGLC.jpg,Nuevo
18000,Honda,Accord,2017,30000,2.4L,Manual,1550kg,Cuenca,Reparaciones;Cambio de filtros,AUTOS,3,hondaAccord.jfif,Usado
32000,Ford,Mustang,2018,25000,2.3L,Automática,1600kg,Machala,Cambio de aceite;Revisión de frenos,AUTOS,2,fordMustang.jpg,Usado
15000,Yamaha,FZ-07,2016,10000,689cc,Manual,182kg,Portoviejo,Revisión de motor;Cambio de aceite,MOTOS,6,yamahaFZ07.jpg,Usado
80000,Caterpillar,D6T,2015,4000,9.3L,Automática,20210kg,Manta,Revisión hidráulica;Cambio de aceite,MAQUINARIAS,1,caterpillarD6T.jpg,Usado
25000,Sea-Doo,GTR 230,2019,150,1494cc,Automática,376kg,Ambato,Reparaciones;Cambio de aceite,ACUATICOS,0,seadoGTR230.jpg,Nuevo
30000,Toyota,Tacoma,2017,35000,3.5L,Automática,1950kg,Esmeraldas,Cambio de aceite;Cambio de filtros,PESADOS,4,toyotaTacoma.jpg,Usado
19000,Suzuki,Swift,2016,40000,1.2L,Manual,950kg,Riobamba,Cambio de aceite;Reparaciones,AUTOS,9,suzukiSwift.png,Usado
16000,Honda,CB300R,2018,6000,286cc,Manual,143kg,Ibarra,Revisión de frenos;Cambio de aceite,MOTOS,5,Honda-CB300R.jpg,Usado
85000,John Deere,850K,2020,2000,6.8L,Automática,15500kg,Santo Domingo,Cambio de aceite,MAQUINARIAS,0,johnDeere850K.jpg,Nuevo
15000,Volkswagen,Jetta,2016,50000,1.4L,Automática,1200kg,Latacunga,Cambio de filtros;Revisión de frenos,AUTOS,7,volkswagenJetta.jpg,Usado
45000,Audi,Q5,2018,25000,2.0L,Automática,1720kg,Guayaquil,Reparaciones;Cambio de aceite,AUTOS,2,audiQ5.jpg,Usado
50000,Toyota,Corolla,2024,0,2.0L,Automática,1300kg,Guayaquil,Ninguno,AUTOS,3,toyotaCorolla.jpg,Nuevo
55000,Honda,Civic,2024,0,2.0L,Manual,1300kg,Quito,Ninguno,AUTOS,29,hondaCivic.jpg,Nuevo
60000,BMW,3 Series,2024,0,2.0L,Automática,1570kg,Cuenca,Ninguno,AUTOS,28,bmw3Series.jpg,Nuevo
45000,Hyundai,Elantra,2024,0,1.6L,Automática,1275kg,Esmeraldas,Ninguno,AUTOS,45,hyundaiElantra.jpg,Nuevo
32000,Hyundai,Exter,2024,0,1.2L,Automática,1230kg,Loja,Ninguno,AUTOS,50,hyundaiExter.jpg,Nuevo
32000,Ford,Explorer,2019,20000,3.5L,Automática,2200kg,Quito,Cambio de filtros;Revisión de motor,PESADOS,1,fordExplorer.jpg,Usado
70000,Komatsu,PC200-8,2016,3500,6.7L,Automática,19200kg,Cuenca,Revisión hidráulica;Cambio de aceite,MAQUINARIAS,1,komatsuPC200-8.jpg,Usado
25000,Yamaha,WaveRunner VX,2019,120,1049cc,Automática,355kg,Machala,Reparaciones;Cambio de aceite,ACUATICOS,0,yamahaWaveRunnerVX.jpg,Nuevo
20000,Hyundai,Tucson,2017,40000,2.0L,Automática,1500kg,Portoviejo,Revisión de motor;Cambio de filtros,AUTOS,5,hyundaiTucson.jpg,Usado
35000,Kia,Sorento,2018,30000,3.3L,Automática,2000kg,Manta,Reparaciones;Cambio de aceite,AUTOS,3,kiaSorento.jpg,Usado
17000,Chevrolet,Cruze,2016,45000,1.4L,Manual,1250kg,Ambato,Reparaciones;Cambio de filtros,AUTOS,8,chevroletCruze.jpg,Usado
45000,Mercedes-Benz,GLA,2019,18000,2.0L,Automática,1620kg,Esmeraldas,Revisión de frenos;Cambio de aceite,AUTOS,1,mercedesbenzGLA.jpg,Usado
80000,John Deere,310SL,2020,1000,4.5L,Automática,7000kg,Riobamba,Cambio de aceite;Reparaciones,MAQUINARIAS,0,johndeere310SL.jpg,Nuevo
12000,Kawasaki,Ninja 400,2018,9000,399cc,Manual,168kg,Ibarra,Revisión de frenos;Cambio de aceite,MOTOS,6,kawasakiNinja400.jpg,Usado
28000,Nissan,X-Trail,2018,35000,2.5L,Automática,1630kg,Santo Domingo,Cambio de filtros;Reparaciones,AUTOS,4,nissanXTrail.jpg,Usado
60000,Caterpillar,420F2,2017,3000,4.4L,Automática,8800kg,Latacunga,Revisión de motor;Cambio de aceite,MAQUINARIAS,1,caterpillar420F2.jpg,Usado
16000,Hyundai,Creta,2016,50000,1.6L,Automática,1300kg,Guayaquil,Cambio de aceite;Reparaciones,AUTOS,7,hyundaiCreta.jpg,Usado
32000,BMW,X3,2018,25000,2.0L,Automática,1700kg,Quito,Revisión de frenos;Cambio de filtros,AUTOS,2,bmwX3.jpg,Usado
23000,Ford,EcoSport,2019,30000,2.0L,Automática,1320kg,Cuenca,Reparaciones;Cambio de aceite,AUTOS,3,fordEcosport.jpg,Usado
18000,Suzuki,Gixxer SF,2017,8000,154.9cc,Manual,148kg,Machala,Cambio de aceite;Reparaciones,MOTOS,6,suzukiGixxerSF.jpg,Usado
90000,Volvo,EC220D,2021,1000,6.0L,Automática,22300kg,Portoviejo,Cambio de filtros;Reparaciones,MAQUINARIAS,0,volvoEC220D.jpg,Nuevo
15000,Chevrolet,Trailblazer,2015,55000,2.8L,Automática,2000kg,Manta,Reparaciones;Cambio de aceite,AUTOS,8,chevroletTrailBlazer.jpg,Usado
20000,Honda,Civic,2017,40000,2.0L,Manual,1300kg,Ambato,Revisión de motor;Cambio de filtros,AUTOS,4,hondaCivic1.jpg,Usado
35000,Ford,Ranger,2018,35000,3.2L,Automática,2100kg,Esmeraldas,Cambio de aceite;Reparaciones,PESADOS,2,fordRanger.jpg,Usado
15000,Yamaha,MT-03,2016,10000,321cc,Manual,168kg,Riobamba,Cambio de llantas;Cambio de aceite,MOTOS,6,yamahaMT-03.jpg,Usado
